Allocation method;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
Standard;22012;37G1;22;54;25.22;11;31.07;2;GFR;54.42033333;11.51783333;21-24;GFR (SD 21-24)
Standard;22043;37G1;22;54;6.12;11;4.46;2;GFR;54.102;11.07433333;21-24;GFR (SD 21-24)
Standard;22047;37G1;22;54;18.13;11;25.49;2;GFR;54.30216667;11.42483333;21-24;GFR (SD 21-24)
Standard;22051;37G1;22;54;14.48;11;43.21;2;GFR;54.24133333;11.72016667;21-24;GFR (SD 21-24)
Standard;22052;37G1;22;54;17.07;11;54.94;2;GFR;54.2845;11.91566667;21-24;GFR (SD 21-24)
Standard;22053;37G1;22;54;18.48;11;41.42;2;GFR;54.308;11.69033333;21-24;GFR (SD 21-24)
Standard;22054;37G0;22;54;29.23;10;42.23;2;GFR;54.48716667;10.70383333;21-24;GFR (SD 21-24)
Standard;22057;37G1;22;54;24.53;11;25.38;2;GFR;54.40883333;11.423;21-24;GFR (SD 21-24)
Standard;22058;37G1;22;54;27.17;11;25.18;2;GFR;54.45283333;11.41966667;21-24;GFR (SD 21-24)
Standard;22065;38G0;22;54;36.4;10;38.58;2;DEN;54.60666667;10.643;21-24;DEN (SD 21-24)
Standard;22078;38G0;22;54;58.2;10;6.8;2;DEN;54.97;10.11333333;21-24;DEN (SD 21-24)
Standard;22079;38G0;22;54;59.72;10;1.41;2;DEN;54.99533333;10.0235;21-24;DEN (SD 21-24)
Standard;22082;39G1;22;55;6.36;11;19.5;2;DEN;55.106;11.325;21-24;DEN (SD 21-24)
Standard;22084;39G1;22;55;11.9;11;4.6;2;DEN;55.19833333;11.07666667;21-24;DEN (SD 21-24)
Standard;22085;40G0;22;55;36.53;10;34.21;2;DEN;55.60883333;10.57016667;21-24;DEN (SD 21-24)
Standard;22090;40G0;22;55;42.3;10;27.8;2;DEN;55.705;10.46333333;21-24;DEN (SD 21-24)
Standard;22094;41G0;22;56;2.6;10;55.6;2;DEN;56.04333333;10.92666667;21-24;DEN (SD 21-24)
Standard;22100;40G0;22;55;42.9;10;47.2;3;DEN;55.715;10.78666667;21-24;DEN (SD 21-24)
Standard;22103;39G1;22;55;4.62;11;16.37;2;DEN;55.077;11.27283333;21-24;DEN (SD 21-24)
Standard;22104;40G0;22;55;34.45;10;36.67;2;DEN;55.57416667;10.61116667;21-24;DEN (SD 21-24)
Standard;22114;37G1;22;54;8.7;11;17.68;2;GFR;54.145;11.29466667;21-24;GFR (SD 21-24)
Standard;22121;38G1;22;54;59.42;11;6.97;2;DEN;54.99033333;11.11616667;21-24;DEN (SD 21-24)
Standard;22122;39G0;22;55;28.23;10;44.04;2;DEN;55.4705;10.734;21-24;DEN (SD 21-24)
Standard;22124;38F9;22;54;55.55;9;55.42;2;DEN;54.92583333;9.923666667;21-24;DEN (SD 21-24)
Standard;22125;39G0;22;55;24.08;10;48.95;2;DEN;55.40133333;10.81583333;21-24;DEN (SD 21-24)
Standard;22126;40G0;22;55;37.57;10;41.17;2;DEN;55.62616667;10.68616667;21-24;DEN (SD 21-24)
Standard;22127;37G1;22;54;35.69;11;13.62;2;GFR;54.59483333;11.227;21-24;GFR (SD 21-24)
Standard;22128;38F9;22;54;57.66;9;47.5;2;DEN;54.961;9.791666667;21-24;DEN (SD 21-24)
Standard;22129;38G0;22;54;54.21;10;57.57;2;DEN;54.9035;10.9595;21-24;DEN (SD 21-24)
Standard;22136;38G0;22;54;44.5;10;11.9;2;GFR;54.74166667;10.19833333;21-24;GFR (SD 21-24)
Standard;22139;37G1;22;54;26;11;31.5;2;GFR;54.43333333;11.525;21-24;GFR (SD 21-24)
Standard;22140;37G1;22;54;25.9;11;37;2;DEN;54.43166667;11.61666667;21-24;GFR (SD 21-24)
Standard;22143;37G1;22;54;12.9;11;33.1;2;GFR;54.215;11.55166667;21-24;GFR (SD 21-24)
Standard;24001;37G2;24;54;23.05;12;11.63;2;GFR;54.38416667;12.19383333;21-24;GFR (SD 21-24)
Standard;24002;37G2;24;54;26.48;12;20.88;2;GFR;54.44133333;12.348;21-24;GFR (SD 21-24)
Standard;24005;38G2;24;54;39.6;12;11.2;2;DEN;54.66;12.18666667;21-24;GFR (SD 21-24)
Standard;24006;38G2;24;54;35.31;12;27.37;2;GFR;54.5885;12.45616667;21-24;GFR (SD 21-24)
Standard;24007;38G2;24;54;37.44;12;55.14;2;GFR;54.624;12.919;21-24;GFR (SD 21-24)
Re-allocated;24012;38G4;24;54;31.93;14;15.04;2;GFR;54.53216667;14.25066667;21-24;POL (SD 25-32)
Standard;24015;38G2;24;54;42.05;12;19.8;2;DEN;54.70083333;12.33;21-24;GFR (SD 21-24)
Standard;24016;38G2;24;54;41.28;12;58.35;2;GFR;54.688;12.9725;21-24;GFR (SD 21-24)
Re-allocated;24021;37G3;24;54;29.57;13;43.66;2;GFR;54.49283333;13.72766667;21-24;POL (SD 25-32)
Standard;24022;37G4;24;54;26.75;14;57.3;2;POL;54.44583333;14.955;21-24;POL (SD 25-32)
Standard;24041;38G4;24;54;37;14;22;2;GFR;54.61666667;14.36666667;21-24;GFR (SD 21-24)
Standard;24046;38G4;24;54;40.2;14;30.7;2;DEN;54.67;14.51166667;21-24;GFR (SD 21-24)
Standard;24055;38G4;24;54;34.16;14;43.13;2;grey;54.56933333;14.71883333;21-24;DEN (SD 25-32)
Standard;24059;38G2;24;54;46.77;12;21.78;2;DEN;54.7795;12.363;21-24;GFR (SD 21-24)
Standard;24065;38G3;24;54;45.16;13;16.48;2;GFR;54.75266667;13.27466667;21-24;GFR (SD 21-24)
Standard;24066;38G3;24;54;44.6;13;20.22;2;GFR;54.74333333;13.337;21-24;GFR (SD 21-24)
Standard;24067;38G3;24;54;48.79;13;25.34;3;GFR;54.81316667;13.42233333;21-24;GFR (SD 21-24)
Standard;24076;38G3;24;54;47.01;13;58.26;2;GFR;54.7835;13.971;21-24;GFR (SD 21-24)
Standard;24092;38G4;24;54;52.3;14;57.8;3;DEN;54.87166667;14.96333333;21-24;GFR (SD 21-24)
Standard;24094;39G2;24;55;5;12;47;2;DEN;55.08333333;12.78333333;21-24;GFR (SD 21-24)
Standard;24107;39G3;24;55;16.4;13;44.6;3;SWE;55.27333333;13.74333333;21-24;GFR (SD 21-24)
Standard;24147;39G3;24;55;17.9;13;51.39;2;SWE;55.29833333;13.8565;21-24;GFR (SD 21-24)
Standard;24150;38G4;24;54;36.77;14;46.61;3;grey;54.61283333;14.77683333;21-24;DEN (SD 25-32)
Standard;24173;38G3;24;54;52.58;13;13.14;3;GFR;54.87633333;13.219;21-24;GFR (SD 21-24)
Standard;24205;38G4;24;54;53.93;14;5.8;3;DEN;54.89883333;14.09666667;21-24;GFR (SD 21-24)
Standard;24275;39G4;24;55;11.91;14;18.7;3;DEN;55.1985;14.31166667;21-24;GFR (SD 21-24)
Standard;24278;38G5;24;54;46.1;15;0;3;grey;54.76833333;15;21-24;DEN (SD 25-32)
Standard;24281;38G2;24;54;50.68;12;40.73;2;DEN;54.84466667;12.67883333;21-24;GFR (SD 21-24)
Standard;24286;38G4;24;54;41.56;14;39.445;3;DEN;54.69266667;14.65741667;21-24;GFR (SD 21-24)
Standard;24300;38G4;24;54;51.74;14;47.68;2;DEN;54.86233333;14.79466667;21-24;GFR (SD 21-24)
Standard;24301;39G3;24;55;3.36;13;38.36;2;SWE;55.056;13.63933333;21-24;GFR (SD 21-24)
Standard;24310;38G3;24;54;59.327;13;52.1836;3;GFR;54.98878333;13.86972667;21-24;GFR (SD 21-24)
Standard;24311;38G4;24;55;0.88;14;16.4;3;DEN;55.01466667;14.27333333;21-24;GFR (SD 21-24)
Standard;24324;39G3;24;55;9;13;55.9;3;SWE;55.15;13.93166667;21-24;GFR (SD 21-24)
Re-allocated;24329;37G4;24;54;26;14;15.6;2;GFR;54.43333333;14.26;21-24;POL (SD 25-32)
Re-allocated;24335;37G4;24;54;11.5;14;18.6;2;GFR;54.19166667;14.31;21-24;POL (SD 25-32)
Standard;25004;38G6;25;54;52.7;16;38.6;2;POL;54.87833333;16.64333333;25-32;POL (SD 25-32)
Standard;25006;37G5;25;54;26;15;8.8;2;POL;54.43333333;15.14666667;25-32;POL (SD 25-32)
Standard;25008;37G5;25;54;23;15;34;2;POL;54.38333333;15.56666667;25-32;POL (SD 25-32)
Standard;25009;37G5;25;54;22.9;15;47.3;2;POL;54.38166667;15.78833333;25-32;POL (SD 25-32)
Standard;25010;37G6;25;54;26.8;16;5.3;2;POL;54.44666667;16.08833333;25-32;POL (SD 25-32)
Standard;25011;37G6;25;54;24.7;16;3;2;POL;54.41166667;16.05;25-32;POL (SD 25-32)
Standard;25013;38G6;25;54;39;16;23.6;2;POL;54.65;16.39333333;25-32;POL (SD 25-32)
Standard;25014;38G6;25;54;41.6;16;38.7;2;POL;54.69333333;16.645;25-32;POL (SD 25-32)
Standard;25016;38G6;25;54;44.6;16;49;2;POL;54.74333333;16.81666667;25-32;POL (SD 25-32)
Standard;25017;38G6;25;54;44.2;16;52.3;2;POL;54.73666667;16.87166667;25-32;POL (SD 25-32)
Standard;25022;38G7;25;54;57.4;17;25;2;POL;54.95666667;17.41666667;25-32;POL (SD 25-32)
Standard;25024;38G7;25;54;51;17;28;2;POL;54.85;17.46666667;25-32;POL (SD 25-32)
Standard;25038;41G7;25;56;9;17;45;3;SWE;56.15;17.75;25-32;DEN (SD 25-32)
Standard;25039;37G5;25;54;27.5;15;36.3;3;POL;54.45833333;15.605;25-32;POL (SD 25-32)
Standard;25040;37G5;25;54;27.9;15;46.8;3;POL;54.465;15.78;25-32;POL (SD 25-32)
Standard;25042;38G5;25;54;32;16;0;3;POL;54.53333333;16;25-32;POL (SD 25-32)
Standard;25046;38G5;25;54;33.4;15;26.4;3;POL;54.55666667;15.44;25-32;POL (SD 25-32)
Standard;25048;38G5;25;54;34.1;15;40.1;4;POL;54.56833333;15.66833333;25-32;POL (SD 25-32)
Standard;25051;38G5;25;54;38.7;15;54.8;3;POL;54.645;15.91333333;25-32;POL (SD 25-32)
Standard;25052;38G6;25;54;38.4;16;4.5;3;POL;54.64;16.075;25-32;POL (SD 25-32)
Standard;25053;38G5;25;54;48.1;15;0.8;3;DEN;54.80166667;15.01333333;25-32;DEN (SD 25-32)
Standard;25055;38G5;25;54;49;15;55;4;POL;54.81666667;15.91666667;25-32;POL (SD 25-32)
Standard;25059;38G5;25;54;53.6;15;10.4;4;DEN;54.89333333;15.17333333;25-32;DEN (SD 25-32)
Standard;25061;38G6;25;54;49.5;16;2.1;3;POL;54.825;16.035;25-32;POL (SD 25-32)
Standard;25062;38G6;25;54;56.3;16;14.6;3;POL;54.93833333;16.24333333;25-32;POL (SD 25-32)
Standard;25066;39G6;25;55;0;16;17;3;POL;55;16.28333333;25-32;POL (SD 25-32)
Standard;25081;39G6;25;55;24.2;16;51;3;POL;55.40333333;16.85;25-32;POL (SD 25-32)
Standard;25084;39G7;25;55;23;17;22;3;POL;55.38333333;17.36666667;25-32;POL (SD 25-32)
Standard;25089;39G7;25;55;23.4;17;45;4;POL;55.39;17.75;25-32;POL (SD 25-32)
Standard;25100;40G5;25;55;38.2;15;6.2;5;DEN;55.63666667;15.10333333;25-32;DEN (SD 25-32)
Re-allocated;25107;40G7;25;55;33.2;17;36;3;POL;55.55333333;17.6;25-32;POL (SD 25-32)
Standard;25119;40G5;25;55;41.2;15;4.2;4;SWE;55.68666667;15.07;25-32;SWE (SD 25-32)
Standard;25124;40G5;25;55;46.2;15;15.1;3;SWE;55.77;15.25166667;25-32;SWE (SD 25-32)
Standard;25136;40G7;25;55;46.6;17;42;3;SWE;55.77666667;17.7;25-32;DEN (SD 25-32)
Standard;25145;40G6;25;55;50.1;16;12.3;3;SWE;55.835;16.205;25-32;DEN (SD 25-32)
Standard;25167;41G7;25;56;16;17;57;3;SWE;56.26666667;17.95;25-32;DEN (SD 25-32)
Standard;25173;38G5;25;54;39.1;15;35.6;4;grey;54.65166667;15.59333333;25-32;DEN (SD 25-32)
Standard;25177;38G5;25;54;46.3;15;17.3;4;grey;54.77166667;15.28833333;25-32;DEN (SD 25-32)
Standard;25182;38G5;25;54;53.3;15;17.5;3;DEN;54.88833333;15.29166667;25-32;DEN (SD 25-32)
Standard;25192;38G5;25;54;50;15;36;5;grey;54.83333333;15.6;25-32;DEN (SD 25-32)
Standard;25197;39G5;25;55;8;15;17;4;DEN;55.13333333;15.28333333;25-32;DEN (SD 25-32)
Standard;25205;39G5;25;55;5.6;15;33.1;4;grey;55.09333333;15.55166667;25-32;DEN (SD 25-32)
Standard;25212;39G6;25;55;3.3;16;18.2;4;POL;55.055;16.30333333;25-32;POL (SD 25-32)
Standard;25221;39G5;25;55;13.7;15;10.8;4;DEN;55.22833333;15.18;25-32;DEN (SD 25-32)
Standard;25235;39G4;25;55;29.1;14;46.3;4;DEN;55.485;14.77166667;25-32;DEN (SD 25-32)
Standard;25241;39G5;25;55;20.9;15;22.3;4;DEN;55.34833333;15.37166667;25-32;DEN (SD 25-32)
Standard;25244;39G6;25;55;23;16;19.2;4;DEN;55.38333333;16.32;25-32;DEN (SD 25-32)
Standard;25246;39G6;25;55;21;16;57;4;POL;55.35;16.95;25-32;POL (SD 25-32)
Standard;25250;39G7;25;55;24;17;30.3;4;POL;55.4;17.505;25-32;POL (SD 25-32)
Standard;25277;40G5;25;55;34.4;15;34.8;4;DEN;55.57333333;15.58;25-32;DEN (SD 25-32)
Standard;25282;40G6;25;55;32.1;16;10.6;4;SWE;55.535;16.17666667;25-32;DEN (SD 25-32)
Standard;25286;40G6;25;55;34.9;16;26.1;4;SWE;55.58166667;16.435;25-32;DEN (SD 25-32)
Re-allocated;25290;40G7;25;55;30;17;53.8;4;POL;55.5;17.89666667;25-32;POL (SD 25-32)
Standard;25305;40G6;25;55;44;16;20;4;SWE;55.73333333;16.33333333;25-32;DEN (SD 25-32)
Re-allocated;25308;40G7;25;55;44.1;17;55.7;4;POL;55.735;17.92833333;25-32;POL (SD 25-32)
Standard;25322;39G5;25;55;3.1;15;42.6;5;grey;55.05166667;15.71;25-32;DEN (SD 25-32)
Standard;25326;39G6;25;55;8.1;16;3.6;5;grey;55.135;16.06;25-32;DEN (SD 25-32)
Standard;25330;39G5;25;55;15.7;15;58.7;3;DEN;55.26166667;15.97833333;25-32;DEN (SD 25-32)
Standard;25331;39G6;25;55;16.1;16;3.9;5;DEN;55.26833333;16.065;25-32;DEN (SD 25-32)
Standard;25339;39G7;25;55;15.5;17;25.5;5;POL;55.25833333;17.425;25-32;POL (SD 25-32)
Standard;25341;39G5;25;55;20.94;15;22.27;5;DEN;55.349;15.37116667;25-32;DEN (SD 25-32)
Standard;25342;39G5;25;55;26.7;15;32.5;5;DEN;55.445;15.54166667;25-32;DEN (SD 25-32)
Standard;25344;39G5;25;55;27.4;15;56.2;5;DEN;55.45666667;15.93666667;25-32;DEN (SD 25-32)
Standard;25347;40G5;25;55;50.1;15;56.77;3;SWE;55.835;15.94616667;25-32;SWE (SD 25-32)
Standard;25359;40G6;25;55;48.5;16;31.9;3;SWE;55.80833333;16.53166667;25-32;DEN (SD 25-32)
Standard;25364;38G7;25;54;59.8;17;28;2;POL;54.99666667;17.46666667;25-32;POL (SD 25-32)
Standard;25389;40G6;25;55;35.41;16;39.65;3;SWE;55.59016667;16.66083333;25-32;DEN (SD 25-32)
Standard;25397;40G5;25;55;46.21;15;31.29;4;SWE;55.77016667;15.5215;25-32;SWE (SD 25-32)
Standard;25401;40G4;25;55;42.15;14;22.21;2;SWE;55.7025;14.37016667;25-32;SWE (SD 25-32)
Standard;25404;40G5;25;55;49.6;15;26.4;3;SWE;55.82666667;15.44;25-32;SWE (SD 25-32)
Standard;25405;40G5;25;55;54.7;15;34.1;3;SWE;55.91166667;15.56833333;25-32;SWE (SD 25-32)
Standard;25410;41G7;25;56;2.9;17;44.5;4;SWE;56.04833333;17.74166667;25-32;DEN (SD 25-32)
Standard;25418;40G4;25;55;42.4;14;22.5;2;SWE;55.70666667;14.375;25-32;SWE (SD 25-32)
Standard;25419;40G4;25;55;41.5;14;22.35;2;SWE;55.69166667;14.3725;25-32;SWE (SD 25-32)
Standard;25422;40G4;25;55;41.8;14;24.6;3;SWE;55.69666667;14.41;25-32;SWE (SD 25-32)
Standard;25423;40G4;25;55;41.5;14;52.3;3;SWE;55.69166667;14.87166667;25-32;SWE (SD 25-32)
Standard;25427;40G5;25;55;48.45;15;50.31;3;SWE;55.8075;15.8385;25-32;SWE (SD 25-32)
Standard;25432;40G6;25;55;50.2;16;23.2;3;SWE;55.83666667;16.38666667;25-32;DEN (SD 25-32)
Standard;25433;38G5;25;54;50.3;15;27.3;4;grey;54.83833333;15.455;25-32;DEN (SD 25-32)
Standard;25439;40G4;25;55;35.9;14;33.6;4;SWE;55.59833333;14.56;25-32;SWE (SD 25-32)
Standard;25447;40G5;25;55;34.67;15;3.8;5;DEN;55.57783333;15.06333333;25-32;DEN (SD 25-32)
