lon1;Status;RectangleAlpha;Mean_Depth;Layer;EEZ;Longitude1_deg;Longitude1_dec_min;Longitude2_deg;Longitude2_dec_min;Longitude_end_deg;Longitude_end_dec_min;Latitude1_deg;Latitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Latitude_end_deg;Latitude_end_dec_min;NrHaul;ICES.SD;NM12
12,335;V;41G2;21;2;DEN;12;20,1;12;21,9;12;21,9;56;9,8;56;8,9;56;8,9;23013;23;No
12,72;V;40G2;19;2;DEN;12;43,2;12;44,2;12;44,2;55;48,8;55;47,7;55;47,7;23014;23;No
12,646666;V;40G2;16;2;DEN;12;38,8;12;38,3;12;38,3;55;58,7;55;57,3;55;57,3;23015;23;No
12,721666;V;40G2;19;2;DEN;12;43,3;12;42,9;12;42,9;55;47,9;55;49,0;55;49,0;23016;23;No
12,633333;V;40G2;17;2;DEN;12;38,0;12;39,1;12;39,1;55;56,5;55;57,8;55;57,8;23017;23;No
12,643333;V;40G2;17;2;DEN;12;38,6;12;37,9;12;37,9;55;57,6;55;56,5;55;56,5;23018;23;No
12,491166;V;41G2;24;2;DEN;12;29,47;12;27,87;12;27,87;56;7,61;56;8,56;56;8,56;23019;23;No
12,643166;V;40G2;16;2;DEN;12;38,59;12;38,13;12;38,13;55;57,9;55;56,79;55;56,79;23020;23;No
12,713166;V;40G2;20;2;DEN;12;42,79;12;43,63;12;43,63;55;49,27;55;48,19;55;48,19;23021;23;No
12,715166;V;40G2;20;2;DEN;12;42,91;12;44,09;12;44,09;55;49,07;55;47,88;55;47,88;23022;23;No
12,369333;V;41G2;24;2;DEN;12;22,160;12;23,900;12;23,900;56;9,880;56;9,130;56;9,130;23023;23;No
12,732166;V;40G2;20;2;SWE;12;43,930;12;42,980;12;42,980;55;48,290;55;49,270;55;49,270;23024;23;No
12,366666;V;41G2;21;2;DEN;12;22,00;12;20,09;12;20,09;56;8,96;56;9,70;56;9,70;23025;23;No
12,736;V;40G2;20;2;DEN;12;44,16;12;42,92;12;42,92;55;48,00;55;49,04;55;49,04;23026;23;No
12,642333;V;40G2;17;2;DEN;12;38,54;12;38,11;12;38,11;55;56,54;55;57,83;55;57,83;23027;23;No
12,454716;V;41G2;27;2;DEN;12;27,283;12;25,250;12;25,250;56;7,154;56;7,980;56;7,980;23028;23;No
12,467333;V;41G2;24;2;DEN;12;28,04;12;26,75;12;26,75;56;8,24;56;9,25;56;9,25;23029;23;No
12,483;V;41G2;24;2;DEN;12;28,980;12;28,460;12;28,460;56;7,990;56;8,600;56;8,600;23030;23;No
12,470666;V;41G2;26;2;DEN;12;28,2400;12;26,3900;12;26,3900;56;7,3200;56;7,7600;56;7,7600;23031;23;No
12,645333;V;40G2;16;2;DEN;12;38,7200;12;37,8100;12;37,8100;55;57,6100;55;56,4700;55;56,4700;23032;23;No
12,4365;V;41G2;27;2;DEN;12;26,190;12;28,400;12;28,400;56;7,640;56;7,230;56;7,230;23033;23;No
12,4326;V;41G2;26;2;DEN;12;25,956;12;28,240;12;28,240;56;7,848;56;7,270;56;7,270;23034;23;No
12,459266;V;41G2;25;2;DEN;12;27,556;12;26,475;12;26,475;56;7,590;56;8,845;56;8,845;23035;23;No
12,635383;V;40G2;17;2;DEN;12;38,123;12;38,768;12;38,768;55;56,865;55;57,974;55;57,974;23036;23;No
12,630333;V;40G2;17;2;DEN;12;37,8200;12;38,7000;12;38,7000;55;56,7400;55;57,7100;55;57,7100;23037;23;No
12,332083;V;39G2;10;2;DEN;12;19,9250;12;22,4700;12;22,4700;55;29,5560;55;28,7110;55;28,7110;23038;23;No
12,71625;V;40G2;12;2;DEN;12;42,9750;12;42,8760;12;42,8760;55;46,2940;55;44,4310;55;44,4310;23039;23;No
12,646166;V;40G2;16;2;DEN;12;38,77;12;38,13;12;38,13;55;57,95;55;56,88;55;56,88;23040;23;No
12,889333;V;40G2;14;2;SWE;12;53,36;12;54,00;12;54,00;55;44,01;55;42,93;55;42,93;23041;23;No
12,4375;V;41G2;24;2;DEN;12;26,25;12;26,97;12;26,97;56;9,10;56;8,10;56;8,10;23042;23;No
12,4615;V;41G2;24;2;DEN;12;27,69;12;27,45;12;27,45;56;8,55;56;9,75;56;9,75;23043;23;No
12,711666;V;40G2;21;2;SWE;12;42,70;12;43,46;12;43,46;55;49,54;55;48,50;55;48,50;23044;23;No
12,463333;V;41G2;27;2;DEN;12;27,80;12;25,86;12;25,86;56;7,32;56;7,74;56;7,74;23045;23;No
12,3845;V;41G2;25;2;DEN;12;23,07;12;20,98;12;20,98;56;9,15;56;9,73;56;9,73;23046;23;No
12,676666;V;40G2;26;2;SWE;12;40,6000;12;41,5100;12;41,5100;55;56,1400;55;57,3600;55;57,3600;23047;23;No
12,858;V;40G2;19;2;SWE;12;51,4800;12;50,5400;12;50,5400;55;47,0100;55;47,5400;55;47,5400;23048;23;No
12,4005;V;41G2;26;2;DEN;12;24,0300;12;26,3400;12;26,3400;56;8,5300;56;8,1400;56;8,1400;23049;23;No
12,389;V;39G2;10;2;DEN;12;23,3400;12;20,7590;12;20,7590;55;29,7440;55;29,6100;55;29,6100;23050;23;No
12,714633;V;40G2;11;2;DEN;12;42,8780;12;42,4970;12;42,4970;55;45,5600;55;44,2710;55;44,2710;23051;23;No
12,380333;V;41G2;24;2;DEN;12;22,820;12;24,990;12;24,990;56;9,730;56;8,940;56;8,940;23052;23;No
12,712083;V;40G2;10;2;DEN;12;42,7250;12;43,1850;12;43,1850;55;44,5590;55;45,5300;55;45,5300;23053;23;No
12,440833;V;40G2;10;2;DEN;12;26,4500;12;24,1290;12;24,1290;55;30,1100;55;29,8350;55;29,8350;23054;23;No
12,423083;V;41G2;26;2;DEN;12;25,3850;12;27,5990;12;27,5990;56;7,8090;56;7,2180;56;7,2180;23055;23;No
12,71215;V;40G2;10;2;DEN;12;42,7290;12;43,1840;12;43,1840;55;44,7330;55;45,7410;55;45,7410;23056;23;No
12,411566;V;39G2;10;2;DEN;12;24,6940;12;21,9180;12;21,9180;55;29,7220;55;29,6700;55;29,6700;23057;23;No
12,4258;V;39G2;11;2;DEN;12;25,5480;12;23,8770;12;23,8770;55;29,8140;55;29,6980;55;29,6980;23058;23;No
12,71765;V;40G2;11;2;DEN;12;43,0590;12;42,7780;12;42,7780;55;45,3100;55;44,8010;55;44,8010;23059;23;No
12,720033;V;40G2;14;2;DEN;12;43,2020;12;43,3480;12;43,3480;55;46,5550;55;45,6000;55;45,6000;23060;23;No
12,412033;V;41G2;25;2;DEN;12;24,7220;12;27,1230;12;27,1230;56;8,0350;56;7,4320;56;7,4320;23061;23;No
12,40525;V;41G2;25;2;DEN;12;24,3150;12;26,7930;12;26,7930;56;8,1560;56;7,4690;56;7,4690;23062;23;No
12,34705;V;39G2;10;2;DEN;12;20,8230;12;23,4330;12;23,4330;55;29,6070;55;29,7410;55;29,7410;23063;23;No
12,49115;V;41G2;26;2;DEN;12;29,4690;12;27,4810;12;27,4810;56;6,7470;56;7,6680;56;7,6680;23064;23;No
12,340283;V;39G2;10;2;DEN;12;20,4170;12;23,0580;12;23,0580;55;29,6070;55;29,6800;55;29,6800;23065;23;No
12,719966;V;40G2;11;2;DEN;12;43,1980;12;42,6770;12;42,6770;55;45,1350;55;44,4140;55;44,4140;23066;23;No
12,420083;V;39G2;10;2;DEN;12;25,2050;12;22,6570;12;22,6570;55;29,8550;55;29,7030;55;29,7030;23067;23;No
12,7806;V;40G2;20;2;SWE;12;46,8360;12;45,9820;12;45,9820;55;49,4730;55;50,0450;55;50,0450;23068;23;No
